catalogNumber	scientificName	associatedTaxa	kingdom	phylum	class	order	family	genus	specificEpithet	Comments
2160988635	Amoebophrya	Alexandrium catenella	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	catenella	
2160988636	Amoebophrya	Alexandrium catenella	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	catenella	
19172011	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
299790111	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
984294416	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
984294422	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
984294452	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
984294527	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
984294566	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
984294585	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
1547054788	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
1547054791	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
1547054792	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
1547054793	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
1547054794	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
1547054801	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
1547054802	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
1547054803	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
1547054807	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
1547054809	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
1547054812	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
1547054813	Amoebophrya	Levanderina fissa	Chromista	Myzozoa	Dinophyceae	Dinophyceae incertae sedis		Levanderina	fissa	
2160988634	Amoebophrya	Tripos furca	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos	furca	
2227868587	Amoebophrya	Ostreopsis heptagona	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Ostreopsis	heptagona	
2227868584	Amoebophrya	Ostreopsis lenticularis	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Ostreopsis	lenticularis	
2227868585	Amoebophrya	Ostreopsis lenticularis	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Ostreopsis	lenticularis	
2227868586	Amoebophrya	Ostreopsis lenticularis	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Ostreopsis	lenticularis	
30230496	Amoebophrya	Ceratium lineatum	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	lineatum	
32395587	Amoebophrya	Prorocentrum micans	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	micans	
